Timestamp: 1039761, AX: 0.37, AY: -0.15, AZ: -0.21, GX: 0.03, GY: -1.25, GZ: -5.94, Temp: 35.17
Timestamp: 1039805, AX: 0.33, AY: -0.34, AZ: -0.15, GX: 0.02, GY: -1.27, GZ: -5.88, Temp: 35.21
Timestamp: 1039850, AX: 0.35, AY: -0.45, AZ: -0.26, GX: 0.01, GY: -1.28, GZ: -5.86, Temp: 35.12
Timestamp: 1039894, AX: 0.29, AY: -0.35, AZ: -0.23, GX: 0.04, GY: -1.30, GZ: -5.85, Temp: 35.12
Timestamp: 1039938, AX: 0.37, AY: -0.20, AZ: -0.23, GX: 0.06, GY: -1.30, GZ: -5.84, Temp: 35.21
Timestamp: 1039983, AX: 0.31, AY: -0.25, AZ: -0.18, GX: 0.08, GY: -1.32, GZ: -5.82, Temp: 35.07
Timestamp: 1040026, AX: 0.27, AY: -0.23, AZ: -0.23, GX: 0.10, GY: -1.33, GZ: -5.80, Temp: 35.21
Timestamp: 1040070, AX: 0.22, AY: -0.23, AZ: -0.25, GX: 0.13, GY: -1.35, GZ: -5.78, Temp: 35.12
Timestamp: 1040114, AX: 0.26, AY: -0.22, AZ: -0.19, GX: 0.15, GY: -1.36, GZ: -5.77, Temp: 35.07
Timestamp: 1040158, AX: 0.17, AY: -0.22, AZ: -0.19, GX: 0.17, GY: -1.37, GZ: -5.77, Temp: 35.17
Timestamp: 1040202, AX: 0.16, AY: -0.28, AZ: -0.17, GX: 0.20, GY: -1.39, GZ: -5.79, Temp: 35.21
Timestamp: 1040251, AX: 0.21, AY: -0.29, AZ: -0.14, GX: 0.21, GY: -1.39, GZ: -5.80, Temp: 35.12
Timestamp: 1040295, AX: -27.71, AY: -21.75, AZ: 11.74, GX: 0.47, GY: 10.00, GZ: 7.99, Temp: 35.17
Timestamp: 1040339, AX: -5.97, AY: -5.19, AZ: 8.12, GX: 0.07, GY: -0.48, GZ: -1.19, Temp: 35.17
Timestamp: 1040383, AX: -4.43, AY: -12.06, AZ: 9.83, GX: 0.31, GY: 0.58, GZ: 1.19, Temp: 35.21
Timestamp: 1040427, AX: -6.47, AY: -6.80, AZ: 7.52, GX: -0.06, GY: 0.21, GZ: 0.26, Temp: 35.12
Timestamp: 1040471, AX: -5.91, AY: -6.11, AZ: 5.18, GX: -0.20, GY: 0.50, GZ: 0.22, Temp: 35.17
Timestamp: 1040515, AX: -4.95, AY: -5.54, AZ: 4.38, GX: -0.08, GY: 0.01, GZ: 0.43, Temp: 35.17
Timestamp: 1040559, AX: -5.78, AY: -5.05, AZ: 4.10, GX: -0.01, GY: -0.07, GZ: 0.22, Temp: 35.17
Timestamp: 1040603, AX: -5.35, AY: -5.29, AZ: 4.97, GX: 0.19, GY: 0.22, GZ: -0.00, Temp: 35.12
Timestamp: 1040647, AX: -5.79, AY: -5.82, AZ: 3.93, GX: 0.06, GY: 0.11, GZ: 0.14, Temp: 35.21
Timestamp: 1040691, AX: -5.79, AY: -5.55, AZ: 4.09, GX: 0.06, GY: 0.07, GZ: 0.02, Temp: 35.12
