Timestamp: 140328, AX: 6.15, AY: -1.45, AZ: -7.91, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.01
Timestamp: 140371, AX: 6.17, AY: -1.40, AZ: -7.87, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 140415, AX: 6.12, AY: -1.49, AZ: -7.99, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 140458, AX: 6.11, AY: -1.42, AZ: -7.89, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 140501, AX: 6.14, AY: -1.45, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.20
Timestamp: 140544, AX: 6.11, AY: -1.44, AZ: -7.90, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 140587, AX: 6.14, AY: -1.43, AZ: -7.94, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 140630, AX: 6.06, AY: -1.50, AZ: -7.83, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.01
Timestamp: 140673, AX: 6.08, AY: -1.44, AZ: -7.93, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 140716, AX: 6.13, AY: -1.49, AZ: -7.96, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.06
Timestamp: 140759, AX: 6.11, AY: -1.47, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 140802, AX: 6.10, AY: -1.47, AZ: -7.93, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.11
Timestamp: 140845, AX: 6.16, AY: -1.47, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 140888, AX: 6.11, AY: -1.46, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 140931, AX: 6.11, AY: -1.46, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 140974, AX: 6.17, AY: -1.44, AZ: -7.90, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.06
Timestamp: 141018, AX: 6.15, AY: -1.49, AZ: -7.83, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 141061, AX: 6.11, AY: -1.51, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
Timestamp: 141104, AX: 6.17, AY: -1.40, AZ: -7.92, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 27.97
Timestamp: 141147, AX: 6.12, AY: -1.44, AZ: -7.95, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 141190, AX: 6.09, AY: -1.39, AZ: -7.97, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.11
Timestamp: 141234, AX: 6.13, AY: -1.48, AZ: -7.91, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 28.15
