Timestamp: 286975, AX: -7.93, AY: -2.74, AZ: 5.00, GX: 15.20, GY: 0.98, GZ: -11.10, Temp: 28.95
Timestamp: 287018, AX: -7.99, AY: -2.56, AZ: 4.73, GX: 15.24, GY: 1.12, GZ: -10.63, Temp: 29.00
Timestamp: 287061, AX: -8.28, AY: -2.54, AZ: 4.27, GX: 15.27, GY: 1.17, GZ: -10.16, Temp: 29.00
Timestamp: 287104, AX: -8.56, AY: -2.42, AZ: 4.02, GX: 15.28, GY: 1.06, GZ: -9.63, Temp: 29.05
Timestamp: 287147, AX: -8.80, AY: -2.39, AZ: 3.83, GX: 15.21, GY: 0.66, GZ: -9.32, Temp: 28.95
Timestamp: 287190, AX: -8.70, AY: -2.37, AZ: 3.90, GX: 15.00, GY: 0.21, GZ: -9.21, Temp: 29.09
Timestamp: 287233, AX: -8.43, AY: -2.20, AZ: 4.24, GX: 14.60, GY: -0.14, GZ: -9.38, Temp: 29.09
Timestamp: 287276, AX: -8.12, AY: -2.08, AZ: 4.70, GX: 14.19, GY: -0.10, GZ: -9.51, Temp: 29.05
Timestamp: 287319, AX: -7.84, AY: -1.88, AZ: 4.87, GX: 13.86, GY: -0.01, GZ: -9.56, Temp: 28.95
Timestamp: 287363, AX: -7.92, AY: -1.69, AZ: 5.02, GX: 13.61, GY: 0.37, GZ: -9.48, Temp: 29.00
Timestamp: 287406, AX: -8.14, AY: -1.61, AZ: 4.84, GX: 13.49, GY: 0.67, GZ: -9.22, Temp: 29.00
Timestamp: 287451, AX: -8.39, AY: -1.72, AZ: 4.41, GX: 13.42, GY: 0.80, GZ: -8.82, Temp: 29.05
Timestamp: 287494, AX: -8.55, AY: -1.87, AZ: 3.88, GX: 13.34, GY: 0.68, GZ: -8.45, Temp: 28.95
Timestamp: 287537, AX: -8.60, AY: -1.99, AZ: 3.92, GX: 13.20, GY: 0.36, GZ: -8.19, Temp: 29.00
Timestamp: 287580, AX: -8.55, AY: -1.95, AZ: 4.23, GX: 12.96, GY: -0.03, GZ: -8.09, Temp: 29.09
Timestamp: 287623, AX: -8.25, AY: -1.79, AZ: 4.64, GX: 12.55, GY: -0.14, GZ: -8.20, Temp: 28.95
Timestamp: 287667, AX: -8.03, AY: -1.58, AZ: 4.98, GX: 12.22, GY: -0.10, GZ: -8.21, Temp: 29.05
Timestamp: 287710, AX: -7.82, AY: -1.37, AZ: 5.17, GX: 11.91, GY: 0.09, GZ: -8.20, Temp: 29.09
Timestamp: 287754, AX: -7.87, AY: -1.22, AZ: 5.18, GX: 11.66, GY: 0.34, GZ: -8.10, Temp: 29.09
Timestamp: 287797, AX: -8.03, AY: -1.20, AZ: 4.97, GX: 11.51, GY: 0.54, GZ: -7.85, Temp: 29.00
Timestamp: 287840, AX: -8.29, AY: -1.21, AZ: 4.59, GX: 11.41, GY: 0.62, GZ: -7.47, Temp: 28.95
Timestamp: 287883, AX: -8.42, AY: -1.26, AZ: 4.28, GX: 11.28, GY: 0.51, GZ: -7.16, Temp: 29.00
Timestamp: 287926, AX: -8.44, AY: -1.25, AZ: 4.18, GX: 11.12, GY: 0.31, GZ: -6.90, Temp: 29.00
Timestamp: 287969, AX: -8.49, AY: -1.31, AZ: 4.29, GX: 10.88, GY: 0.09, GZ: -6.78, Temp: 28.95
Timestamp: 288017, AX: -8.19, AY: -1.38, AZ: 4.47, GX: 10.55, GY: -0.05, GZ: -6.73, Temp: 28.95
Timestamp: 288061, AX: -8.11, AY: -1.25, AZ: 4.83, GX: 10.19, GY: -0.04, GZ: -6.74, Temp: 29.09
Timestamp: 288104, AX: -7.96, AY: -1.24, AZ: 4.94, GX: 9.88, GY: 0.05, GZ: -6.69, Temp: 29.00
Timestamp: 288147, AX: -7.84, AY: -1.19, AZ: 5.16, GX: 9.60, GY: 0.11, GZ: -6.60, Temp: 29.05
Timestamp: 288190, AX: -7.85, AY: -1.08, AZ: 5.28, GX: 9.38, GY: 0.25, GZ: -6.43, Temp: 28.95
Timestamp: 288233, AX: -7.82, AY: -0.90, AZ: 5.26, GX: 9.17, GY: 0.32, GZ: -6.25, Temp: 29.00
Timestamp: 288277, AX: -7.86, AY: -0.82, AZ: 5.19, GX: 8.99, GY: 0.40, GZ: -5.99, Temp: 29.09
Timestamp: 288320, AX: -7.90, AY: -0.70, AZ: 4.93, GX: 8.83, GY: 0.43, GZ: -5.71, Temp: 29.05
Timestamp: 288363, AX: -8.12, AY: -0.62, AZ: 4.77, GX: 8.66, GY: 0.39, GZ: -5.43, Temp: 28.95
Timestamp: 288406, AX: -8.29, AY: -0.55, AZ: 4.50, GX: 8.45, GY: 0.30, GZ: -5.22, Temp: 29.00
Timestamp: 288449, AX: -8.28, AY: -0.58, AZ: 4.42, GX: 8.23, GY: 0.22, GZ: -5.04, Temp: 29.00
Timestamp: 288492, AX: -8.41, AY: -0.56, AZ: 4.38, GX: 7.99, GY: 0.09, GZ: -4.88, Temp: 29.00
Timestamp: 288535, AX: -8.27, AY: -0.60, AZ: 4.48, GX: 7.72, GY: -0.04, GZ: -4.81, Temp: 29.05
Timestamp: 288578, AX: -8.32, AY: -0.63, AZ: 4.55, GX: 7.42, GY: -0.11, GZ: -4.72, Temp: 29.00
Timestamp: 288621, AX: -8.23, AY: -0.73, AZ: 4.73, GX: 7.11, GY: -0.17, GZ: -4.66, Temp: 29.00
Timestamp: 288664, AX: -8.07, AY: -0.87, AZ: 4.99, GX: 6.77, GY: -0.14, GZ: -4.61, Temp: 29.05
Timestamp: 288707, AX: -7.98, AY: -0.92, AZ: 5.22, GX: 6.49, GY: -0.04, GZ: -4.47, Temp: 29.05
Timestamp: 288750, AX: -7.78, AY: -0.91, AZ: 5.33, GX: 6.23, GY: 0.03, GZ: -4.33, Temp: 29.00
Timestamp: 288793, AX: -7.72, AY: -0.84, AZ: 5.36, GX: 5.99, GY: 0.09, GZ: -4.17, Temp: 29.09
Timestamp: 288836, AX: -7.60, AY: -0.84, AZ: 5.52, GX: 5.75, GY: 0.17, GZ: -4.01, Temp: 28.95
Timestamp: 288880, AX: -7.61, AY: -0.68, AZ: 5.63, GX: 5.54, GY: 0.24, GZ: -3.80, Temp: 29.05
Timestamp: 288923, AX: -7.70, AY: -0.54, AZ: 5.55, GX: 5.33, GY: 0.26, GZ: -3.59, Temp: 29.00
Timestamp: 288966, AX: -7.69, AY: -0.45, AZ: 5.54, GX: 5.13, GY: 0.28, GZ: -3.37, Temp: 29.09
Timestamp: 289009, AX: -7.84, AY: -0.30, AZ: 5.40, GX: 4.92, GY: 0.27, GZ: -3.14, Temp: 29.05
Timestamp: 289052, AX: -7.89, AY: -0.19, AZ: 5.21, GX: 4.69, GY: 0.25, GZ: -2.93, Temp: 29.05
Timestamp: 289096, AX: -7.97, AY: -0.00, AZ: 5.16, GX: 4.45, GY: 0.23, GZ: -2.71, Temp: 29.00
Timestamp: 289139, AX: -8.07, AY: 0.05, AZ: 5.06, GX: 4.22, GY: 0.18, GZ: -2.48, Temp: 29.00
Timestamp: 289182, AX: -8.12, AY: 0.15, AZ: 4.94, GX: 3.97, GY: 0.12, GZ: -2.28, Temp: 29.00
Timestamp: 289225, AX: -8.18, AY: 0.31, AZ: 4.87, GX: 3.71, GY: 0.07, GZ: -2.10, Temp: 29.05
Timestamp: 289268, AX: -8.18, AY: 0.40, AZ: 4.74, GX: 3.45, GY: 0.03, GZ: -1.92, Temp: 29.09
Timestamp: 289311, AX: -8.26, AY: 0.46, AZ: 4.64, GX: 3.18, GY: -0.01, GZ: -1.77, Temp: 29.00
Timestamp: 289355, AX: -8.28, AY: 0.46, AZ: 4.64, GX: 2.90, GY: -0.03, GZ: -1.64, Temp: 29.05
Timestamp: 289399, AX: -8.39, AY: 0.54, AZ: 4.62, GX: 2.59, GY: -0.05, GZ: -1.49, Temp: 29.14
Timestamp: 289442, AX: -8.35, AY: 0.52, AZ: 4.53, GX: 2.29, GY: -0.06, GZ: -1.36, Temp: 29.05
Timestamp: 289485, AX: -8.37, AY: 0.45, AZ: 4.50, GX: 1.99, GY: -0.07, GZ: -1.21, Temp: 29.00
Timestamp: 289528, AX: -8.35, AY: 0.44, AZ: 4.47, GX: 1.68, GY: -0.08, GZ: -1.06, Temp: 29.00
Timestamp: 289571, AX: -8.33, AY: 0.41, AZ: 4.44, GX: 1.36, GY: -0.08, GZ: -0.88, Temp: 29.14
Timestamp: 289614, AX: -8.34, AY: 0.28, AZ: 4.61, GX: 1.03, GY: -0.07, GZ: -0.68, Temp: 29.05
Timestamp: 289657, AX: -8.35, AY: 0.21, AZ: 4.58, GX: 0.69, GY: -0.05, GZ: -0.47, Temp: 29.00
Timestamp: 289701, AX: -8.36, AY: 0.22, AZ: 4.57, GX: 0.33, GY: -0.04, GZ: -0.23, Temp: 29.00
Timestamp: 289744, AX: -8.37, AY: 0.15, AZ: 4.64, GX: -0.05, GY: -0.01, GZ: 0.02, Temp: 28.95
Timestamp: 289787, AX: -8.23, AY: 0.17, AZ: 4.71, GX: 0.06, GY: -0.01, GZ: -0.00, Temp: 29.05
Timestamp: 289830, AX: -8.27, AY: 0.17, AZ: 4.64, GX: 0.03, GY: 0.01, GZ: 0.04, Temp: 29.00
Timestamp: 289873, AX: -8.32, AY: 0.12, AZ: 4.64, GX: 0.06, GY: 0.01, GZ: 0.03, Temp: 29.09
Timestamp: 289917, AX: -8.34, AY: 0.16, AZ: 4.64, GX: 0.05, GY: 0.02, GZ: 0.03, Temp: 29.05
Timestamp: 289960, AX: -8.37, AY: 0.25, AZ: 4.64, GX: 0.05, GY: 0.01, GZ: 0.02, Temp: 29.05
Timestamp: 290003, AX: -8.35, AY: 0.20, AZ: 4.63, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290051, AX: -8.35, AY: 0.21, AZ: 4.59, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290094, AX: -8.25, AY: 0.21, AZ: 4.60, GX: 0.04, GY: -0.00, GZ: 0.00, Temp: 29.05
Timestamp: 290137, AX: -8.31, AY: 0.16, AZ: 4.60, GX: 0.03, GY: -0.01, GZ: 0.00, Temp: 29.05
Timestamp: 290180, AX: -8.36, AY: 0.11, AZ: 4.66, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290223, AX: -8.36, AY: 0.17, AZ: 4.64, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290266, AX: -8.37, AY: 0.21, AZ: 4.70, GX: 0.04, GY: -0.00, GZ: 0.02, Temp: 29.05
Timestamp: 290309, AX: -8.36, AY: 0.21, AZ: 4.60, GX: 0.04, GY: -0.00, GZ: 0.02, Temp: 29.05
Timestamp: 290352, AX: -8.27, AY: 0.18, AZ: 4.62, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290395, AX: -8.37, AY: 0.23, AZ: 4.52, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290438, AX: -8.31, AY: 0.16, AZ: 4.56, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 290481, AX: -8.37, AY: 0.16, AZ: 4.56, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290525, AX: -8.34, AY: 0.18, AZ: 4.45, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290568, AX: -8.31, AY: 0.18, AZ: 4.57, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290611, AX: -8.33, AY: 0.23, AZ: 4.62, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290654, AX: -8.27, AY: 0.19, AZ: 4.61, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 28.95
Timestamp: 290697, AX: -8.34, AY: 0.20, AZ: 4.66, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290741, AX: -8.31, AY: 0.16, AZ: 4.59, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 290784, AX: -8.38, AY: 0.23, AZ: 4.57, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 290828, AX: -8.26, AY: 0.23, AZ: 4.53, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 290871, AX: -8.31, AY: 0.19, AZ: 4.51, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290914, AX: -8.34, AY: 0.19, AZ: 4.56, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 290957, AX: -8.37, AY: 0.17, AZ: 4.60, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 291000, AX: -8.30, AY: 0.20, AZ: 4.53, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 291043, AX: -8.34, AY: 0.20, AZ: 4.50, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 291086, AX: -8.33, AY: 0.20, AZ: 4.68, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 29.09
Timestamp: 291129, AX: -8.34, AY: 0.22, AZ: 4.53, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 28.95
Timestamp: 291172, AX: -8.31, AY: 0.25, AZ: 4.61, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.14
Timestamp: 291215, AX: -8.37, AY: 0.24, AZ: 4.58, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.19
Timestamp: 291258, AX: -8.35, AY: 0.25, AZ: 4.59, GX: 0.05, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 291301, AX: -8.33, AY: 0.22, AZ: 4.53, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.95
Timestamp: 291345, AX: -8.36, AY: 0.25, AZ: 4.53, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 291388, AX: -8.38, AY: 0.26, AZ: 4.54, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 291431, AX: -8.28, AY: 0.21, AZ: 4.59, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 291474, AX: -8.37, AY: 0.19, AZ: 4.55, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 291517, AX: -8.35, AY: 0.21, AZ: 4.51, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 29.05
Timestamp: 291561, AX: -8.36, AY: 0.20, AZ: 4.56, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.00
Timestamp: 291604, AX: -8.33, AY: 0.18, AZ: 4.55, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
Timestamp: 291648, AX: -8.39, AY: 0.18, AZ: 4.59, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 28.95
Timestamp: 291691, AX: -8.34, AY: 0.20, AZ: 4.57, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.05
Timestamp: 291734, AX: -8.30, AY: 0.17, AZ: 4.53, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 29.09
