Timestamp: 20315, AX: -1.81, AY: 7.84, AZ: -5.70, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 32.39
Timestamp: 20358, AX: -1.85, AY: 7.85, AZ: -5.78, GX: 0.04, GY: -0.01, GZ: 0.01, Temp: 32.53
Timestamp: 20402, AX: -1.87, AY: 7.85, AZ: -5.71, GX: 0.04, GY: 0.01, GZ: 0.01, Temp: 32.53
Timestamp: 20445, AX: -1.85, AY: 7.95, AZ: -5.68, GX: 0.03, GY: 0.01, GZ: 0.01, Temp: 32.58
Timestamp: 20488, AX: -1.85, AY: 7.90, AZ: -5.71, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 32.48
Timestamp: 20531, AX: -1.79, AY: 7.91, AZ: -5.73, GX: 0.05, GY: 0.00, GZ: 0.01, Temp: 32.58
Timestamp: 20574, AX: -1.85, AY: 7.88, AZ: -5.68, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 32.44
Timestamp: 20618, AX: -1.81, AY: 7.85, AZ: -5.61, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 32.53
Timestamp: 20661, AX: -1.86, AY: 7.90, AZ: -5.66, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 32.48
Timestamp: 20704, AX: -1.78, AY: 7.92, AZ: -5.68, GX: 0.05, GY: -0.01, GZ: 0.01, Temp: 32.48
Timestamp: 20747, AX: -1.79, AY: 7.86, AZ: -5.76, GX: 0.05, GY: -0.00, GZ: 0.01, Temp: 32.48
Timestamp: 20790, AX: -1.81, AY: 7.92, AZ: -5.69, GX: 0.05, GY: -0.00, GZ: 0.01, Temp: 32.53
Timestamp: 20833, AX: -1.87, AY: 7.91, AZ: -5.72, GX: 0.05, GY: -0.01, GZ: 0.01, Temp: 32.48
Timestamp: 20876, AX: -1.84, AY: 7.95, AZ: -5.74, GX: 0.04, GY: -0.00, GZ: 0.01, Temp: 32.48
Timestamp: 20920, AX: -1.81, AY: 7.94, AZ: -5.78, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 32.34
Timestamp: 20963, AX: -1.81, AY: 7.85, AZ: -5.71, GX: 0.05, GY: -0.01, GZ: 0.01, Temp: 32.53
Timestamp: 21007, AX: -1.83, AY: 7.85, AZ: -5.72, GX: 0.04, GY: 0.00, GZ: 0.01, Temp: 32.48
Timestamp: 21050, AX: -1.77, AY: 7.90, AZ: -5.78, GX: 0.05, GY: -0.00, GZ: 0.01, Temp: 32.48
Timestamp: 21093, AX: -1.77, AY: 7.92, AZ: -5.74, GX: 0.05, GY: -0.00, GZ: 0.01, Temp: 32.53
Timestamp: 21137, AX: -1.80, AY: 7.91, AZ: -5.68, GX: 0.05, GY: -0.00, GZ: 0.01, Temp: 32.53
Timestamp: 21180, AX: -1.81, AY: 7.92, AZ: -5.73, GX: 0.05, GY: -0.01, GZ: 0.01, Temp: 32.53
